Practice ID,Practice Name,CMMC Domain,Control Description,AZ-104 Exam Domain,AZ-104 Skill,Azure Service(s),NIST 800-171 Ref,Implementation Notes
AC.L1-3.1.1,Authorized Access Control,Access Control,"Limit information system access to authorized users, processes acting on behalf of authorized users, and devices",Manage Azure Identities and Governance,"Manage Microsoft Entra users and groups; Manage RBAC","Microsoft Entra ID, Azure RBAC, Conditional Access",3.1.1,Create unique user accounts; assign least-privilege RBAC roles; require compliant devices via Conditional Access
AC.L1-3.1.2,Transaction & Function Control,Access Control,"Limit information system access to the types of transactions and functions that authorized users are permitted to execute",Manage Azure Identities and Governance,"Manage RBAC; Manage Azure Policy","Azure RBAC, Azure Policy, PIM",3.1.2,Scope RBAC roles to specific functions; use deny policies in Azure Policy; use PIM for JIT privileged access
IA.L1-3.5.1,Identification,Identification and Authentication,"Identify information system users, processes acting on behalf of users, and devices",Manage Azure Identities and Governance,"Manage Microsoft Entra users and groups; Manage service principals and managed identities","Microsoft Entra ID, Managed Identities",3.5.1,Ensure all users have unique identities; use managed identities for service-to-service; register devices in Entra ID
IA.L1-3.5.2,Authentication,Identification and Authentication,"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access",Manage Azure Identities and Governance,"Manage authentication and authorization; Configure MFA","Microsoft Entra MFA, Conditional Access, Azure Key Vault",3.5.2,Enable MFA for all users; use managed identities for services; store secrets in Key Vault; monitor authentication failures
MP.L1-3.8.3,Media Disposal,Media Protection,"Sanitize or destroy information system media containing Federal Contract Information before disposal or reuse",Implement and Manage Storage,"Configure Azure Storage security; Configure Azure Disk Encryption","Azure Disk Encryption, Azure Storage SSE, Microsoft Purview",3.8.3,[Partial] Azure manages physical media disposal per NIST 800-88; enable ADE on all VMs; use CMK for encryption
PE.L1-3.10.1,Limit Physical Access,Physical Protection,"Limit physical access to organizational information systems, equipment, and operating environments to authorized individuals",Implement and Manage Virtual Networking,"Configure Azure Bastion; Secure access to virtual networks","Azure Bastion, Microsoft Entra ID, Microsoft Intune",3.10.1,[Partial] Microsoft manages Azure DC physical access; use Azure Bastion to eliminate public RDP/SSH; enforce device compliance
PE.L1-3.10.3,Escort Visitors,Physical Protection,Escort visitors and monitor visitor activity,Monitor and Maintain Azure Resources,"Monitor resources using Azure Monitor; Configure audit logging","Azure Monitor, Microsoft Entra Audit Logs, Microsoft Sentinel",3.10.3,[Partial] Microsoft manages DC visitor escorting; enable Entra ID audit logs for guest/B2B user activity tracking
PE.L1-3.10.4,Physical Access Logs,Physical Protection,Maintain audit logs of physical access,Monitor and Maintain Azure Resources,"Configure Azure Monitor Logs; Create and configure Log Analytics workspaces","Azure Monitor, Log Analytics, Entra ID Sign-in Logs",3.10.4,[Partial] Microsoft maintains DC physical access logs; enable Activity Logs and send to Log Analytics; retain 365 days
PE.L1-3.10.5,Manage Physical Access Devices,Physical Protection,Control and manage physical access devices,Manage Azure Identities and Governance,"Manage Microsoft Entra device settings; Manage device registrations","Microsoft Entra ID, Microsoft Intune",3.10.5,[Partial] Microsoft manages DC access devices; use Entra ID device registration and Intune; revoke devices on employee departure
SC.L1-3.13.1,Boundary Protection,System and Communications Protection,"Monitor, control, and protect organizational communications at the external boundaries and key internal boundaries",Implement and Manage Virtual Networking,"Configure NSGs; Configure Azure Firewall; Configure virtual network peering","Azure Firewall, NSG, Azure DDoS Protection, Application Gateway WAF",3.13.1,Create VNets with segmented subnets; apply NSGs with deny-all defaults; deploy Azure Firewall for centralized control; enable DDoS Protection
SC.L1-3.13.5,Public-Access System Separation,System and Communications Protection,"Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks",Implement and Manage Virtual Networking,"Configure virtual networks; Configure private access to Azure services; Configure private endpoints","Azure VNet (DMZ), Application Gateway, Private Endpoints",3.13.5,Create DMZ subnet for internet-facing resources; disable public IPs on backend VMs; use Private Endpoints for PaaS; route public traffic through App Gateway WAF
SI.L1-3.14.1,Flaw Remediation,System and Information Integrity,"Identify, report, and correct information and information system flaws in a timely manner",Monitor and Maintain Azure Resources,"Monitor and manage Azure resources; Implement Azure Update Manager","Defender for Cloud, Azure Update Manager, Azure Monitor",3.14.1,Enable Defender for Cloud (free CSPM); use Update Manager for patch scheduling; review Secure Score recommendations
SI.L1-3.14.2,Malicious Code Protection,System and Information Integrity,"Provide protection from malicious code at appropriate locations within organizational information systems",Monitor and Maintain Azure Resources,"Configure Microsoft Defender for Cloud; Monitor security posture","Defender for Servers, Microsoft Antimalware, Defender for Storage",3.14.2,Deploy Microsoft Antimalware extension on VMs; enable Defender for Servers; enable Defender for Storage
SI.L1-3.14.4,Update Malicious Code Protection,System and Information Integrity,Update malicious code protection mechanisms when new releases are available,Monitor and Maintain Azure Resources,"Implement Azure Update Manager; Monitor security configurations","Microsoft Antimalware (auto-update), Defender for Endpoint, Azure Policy",3.14.4,Microsoft Antimalware auto-updates by default; apply Azure Policy to enforce antimalware deployment; monitor update compliance in Defender for Cloud
SI.L1-3.14.5,System and File Scanning,System and Information Integrity,"Perform periodic scans of the information system and real-time scans of files from external sources",Monitor and Maintain Azure Resources,"Monitor security posture with Defender for Cloud","Microsoft Antimalware, Defender for Endpoint, Defender for Storage",3.14.5,Configure scheduled scan settings in antimalware extension; enable real-time protection; enable Defender for Storage malware scanning on blob uploads
